,index,cyrillic_backwards,transcription_backwards,cyrillic,transcription,derived_cyrillic,derived_transcription,form_cyrillic,form_transcription,часть речи,grammar,type,type_alternation,definition,example_cyrillic,example_transcription,example_definition,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102
4381,4381,элҍтдэуп,el'd'deup,пуэдтҍлэ,pued'd'le,пуэдтӭ,pued'd'e,,,Verb,быстро,3.0,,"прибыть, прийти, приехать, поступить (о ком-чём-либо);прийти, наступить, настать (быстро);прийти в какое-л. состояние (быстро)",,"to ž'e, čto puedse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4407,4407,еннэсррэуп,eɲɲesrreup,пуэррсэнне,puerrseɲɲe,пуэррнэ,puerrne,,,Adv,,,,хорошо,,"to ž'e, čto puerast",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4408,4408,эввухрэуп,evvuxreup,пуэрхуввэ,puerxuvve,пуэрхэ,puerxe,,,Verb,страд.,1.0,,страд. к пуэрхэ,,strad. k puerxe,,коазя пуэрхувэ,koaz'a puerxuve,котёнка погладили,со̄нн пуэрхувэ,soonn puerxuve,его приласкали,па̄ррьшя пуэрхуввэй,paar'r'š'a puerxuvvej,мальчика приласкали,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4420,4420,эввюътдып,evvujddɨp,пыдтъюввэ,pɨddjuvve,пыдтӭ,pɨd'd'e,,,Verb,,1.0,,"растопиться (о жире, сале)",,"to ž'e, čto pɨdtje",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4421,4421,эхҍтдып,ex'd'dɨp,пыдтҍхэ,pɨd'd'xe,пыһтӭ,pɨht'e,,,Verb,страд.,3.0,,страд. к пыһтӭ,,strad. k pɨhte,,бэдт соннӭ мӯрэтҍ пыдтҍхэ,bedt son'n'e muuret pɨdtxe,1) надо его заставить привезти дров 2) надо заставить кого привезти ей дров,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4424,4424,ечдып,ečdɨp,пыдче,pɨdče,пыдтӭ,pɨd'd'e,,,Verb,"постоянно; иногда, бывало",3.0,,"топить, растапливать (жир, сало - постоянно;иногда, бывало)",,"to ž'e, čto pɨdne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426,4426,эввухҍдып,evvux'dɨp,пыдҍхуввэ,pɨd'xuvve,пыдтӭ,pɨd'd'e,,,Verb,страд.,1.0,,страд. к пыдтӭ,,strad. k pɨdte,,пуййт пыдҍхувэ,pujjt pɨdxuve,жир растоплен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4428,4428,еййып,ejjɨp,пыййе,pɨjje,пыйе,pɨje,,,Verb,страд.,3.0,,страд. к пыйе,,"to ž'e, čto pɨjjuvve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4430,4430,эввюййып,evvujjɨp,пыййюввэ,pɨjjuvve,пыйе,pɨje,,,Verb,страд.,1.0,,страд. к пыйе,,strad. k pɨje,,кнӣга ё пыййювэ ылльтэ э̄л,kɲ'iiga jo pɨjjuve ɨl'l'te eel,книга уже поставлена на полку,ра̄зь ё пыййюввенҍ,raaz' jo pɨjjuv'v'en',цветы уже посажены,е̄весь пыййюввенҍ ве̄ҏцэ мӣлльтэ,jeev'es' pɨjjuv'v'en' v'eer̥ce m'iil'l'te,продукты уже разложены по мешкам,то̄лл ё пыййювэ пе̄һце,tooll jo pɨjjuve p'eehc'e,огонь уже разожжён в печи,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4431,4431,эсйып,esjɨp,пыйсэ,pɨjse,пыйе,pɨje,,,Verb,быстро,3.0,,"положить, поместить кого-что (куда-л. - быстро);сложить, построить что (быстро);поставить, поместить что (вертикально);поставить, соорудить, установить что (быстро);поставить, наложить что (быстро - банки, горчичники);поставить (быстро - подпись, отметку);назначить кого (быстро);постановить, решить что и с неопр. (быстро);положить, употребить что на что (быстро) 1;посадить (в землю) что",,"to ž'e, čto pɨjjle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4432,4432,эсјып,esјɨp,пыјсэ,pɨјse,пыйе,pɨje,,,Verb,быстро,4.0,,"положить, поместить кого-что (куда-л. - быстро);сложить, построить что (быстро);поставить, поместить что (вертикально);поставить, соорудить, установить что (быстро);поставить, наложить что (быстро - банки, горчичники);поставить (быстро - подпись, отметку);назначить кого (быстро);постановить, решить что и с неопр. (быстро);положить, употребить что на что (быстро) 1;посадить (в землю) что",,"to ž'e, čto pɨjjle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4433,4433,этјып,etјɨp,пыјтэ,pɨјte,пыйе,pɨje,,,Verb,понуд.,4.0,,понуд. к пыйе,,ponud. k pɨje,,пыјт соннӭ кнӣгатҍ ылльтэ э̄л,pɨјt son'n'e kɲ'iigat ɨl'l'te eel,заставь его поставить книги на полку,пыјт соннӭ ве̄шшэдэсь чемоданнӭ,pɨјt son'n'e v'eeššedes' čemodan'n'e,заставь его положить свои вещи в чемодан,пыјтэгке сыйе мӯрэтҍ е̄ммьнье,pɨјtegk'e sɨje muuret jeem'm'ɲ'je,заставьте их посадить деревья,пыјтэгке сыйе ёадтӭ тэнна кя̄йн мӣлльтэ,pɨјtegk'e sɨje joadte tenna k'aajn m'iil'l'te,пусть они едут по этой дороге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4440,4440,эввюъллып,evvujllɨp,пыллъюввэ,pɨlljuvve,пыла,pɨla,,,Verb,страд.,1.0,,страд. к пыллэ,,strad. k pɨlle,,мӯрр пыллъювэ,muurr pɨlljuve,дерево распилили,мунн пыллъюввэ,munn pɨlljuvve,меня упрекнули,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4444,4444,эсӆып,es̥lɨp,пыӆсэ,pɨl̥se,пыла,pɨla,,,Verb,быстро,4.0,,"распилить что (быстро);однокр. перен. упрекнуть, укорить кого",,"to ž'e, čto pɨllle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4449,4449,еьннып,ejɲɲɨp,пыннье,pɨɲɲje,пынне,pɨɲɲe,,,Verb,страд.,3.0,,страд. к пынне,,strad. k pɨɲ'ɲ'e,,пугк пӯдзэ пынньенҍ,pugk puuʒe pɨɲ'ɲ'jen',все олени сохранены (напр. от волков),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4456,4456,эсьнып,esɲɨp,пыньсэ,pɨɲse,пынне,pɨɲɲe,,,Verb,"недолго, немного, некоторое время",3.0,,"поберечь, похранить кого-что (недолго, немного);оберегать, защищать кого-что (некоторое время);сберечь, сохранить кого-что, не израсходовать что;беречь, охранять что (некоторое время)",,"to ž'e, čto pɨɲ'ɲ'le",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4457,4457,ечьнып,ečɲɨp,пыньче,pɨɲče,пынне,pɨɲɲe,,,Verb,"постоянно;иногда, бывало",3.0,,"беречь, хранить кого-что (постоянно, иногда, бывало);беречь, оберегать, защищать кого-что (постоянно;иногда, бывало);беречь кого-что, не расходовать что (постоянно;иногда, бывало);беречь, охранять, сохранять кого-что (постоянно;иногда, бывало)",,"to ž'e, čto pɨɲ'ne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4466,4466,еътһып,ejthɨp,пыһтъе,pɨhtje,пыһтӭ,pɨht'e,,,Verb,страд.,3.0,,страд. к пыһтӭ,,strad. k pɨhte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4483,4483,еъкг̄эп,ejggeep,пэ̄гкъе,peeggje,пагке,pag'g'e,,,Verb,страд.,3.0,,страд. к пагке,,strad. k pagk'e,,рыбп пэ̄гкьенҍ,rɨbp peegk'jen',куропатки ощипаны,со̄нн та̄рьм шӣгктэнне пэ̄гкэй,soonn taar'm š'iigkteɲ'ɲ'e peegkej,его сегодня здорово отругали,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4485,4485,ечг̄эп,ečgeep,пэ̄гче,peegče,пагке,pag'g'e,,,Verb,"постоянно;иногда, бывало",3.0,,"прям., перен. щипать кого-что (постоянно;иногда, бывало);перен. обирать кого (постоянно;иногда, бывало)",,"to ž'e, čto peegne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4486,4486,ьжд̄эп,'ždeep,пэ̄джь,peedž',пэ̄джь,peedž',пэ̄дже,peedž'e,Noun,,4.0,,горе,ср. пэһч,sr. pehč,,то̄ӆӆькъе вӣресь пэ̄дже,tool̥'l̥'kje v'iir'es' peedž'e,сочувствовать чужому горю,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4490,4490,этннэньжд̄эп,etnnen'ždeep,пэ̄джьнэннтэ,peedž'nennte,пэ̄джь,peedž',,,Verb,"постоянно;иногда, бывало",2.0,1*,"горевать (постоянно;иногда, бывало)",,"to ž'e, čto peedž'kennte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4493,4493,ечьж̄эп,eč'žeep,пэ̄жьче,peež'če,падже,padž'e,,,Verb,"постоянно;иногда, бывало",3.0,,"давить кого, на кого-что, выжимать, выдавливать что (постоянно;иногда, бывало)",,"to ž'e, čto peež'ne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4503,4503,еълл̄эп,ejlleep,пэ̄ллъе,peellje,палле,pal'l'e,,,Verb,страд.,3.0,,страд. к палле,,strad. k pal'l'e,,паллем гуэйкэ воалшуввма пӯдзэ пэ̄ллъенҍ,pal'l'em guejke voalšuvvma puuʒe peelljen',все отобранные для забоя олени забиты,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4518,4518,эхкр̄эп,exkreep,пэ̄ркхэ,peerkxe,пэ̄рркэ,peerrke,,,Verb,понуд.,3.0,,понуд. к пэ̄рркэ,,ponud. k peerrke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4525,4525,энцҏэп,enc̥rep,пэҏцнэ,per̥cne,паҏҏьцэ,par̥'r̥'ce,,,Verb,"постоянно;иногда, бывало",3.0,,"греметь чем (постоянно;иногда, бывало);потрескивать (о дровах при горении - постоянно;иногда, бывало);ударяться обо что (постоянно;иногда, бывало)",,"to ž'e, čto per̥cče",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527,4527,эввулсс̄эп,evvulsseep,пэ̄сслуввэ,peessluvve,пэ̄ссэ,peesse,,,Verb,страд.,1.0,,страд. к пэсслэ,,strad. k pessle,,пла̄тья шӣгктэнне пэ̄сслувэ,plaat'ja š'iigkteɲ'ɲ'e peessluve,платье хорошо выстиралось,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4532,4532,еътсс̄эп,ejtsseep,пэ̄сстъе,peesstje,пассьтлэсь,pas's'tles',,,Verb,стать,3.0,,"стать острым, заостриться",,"to ž'e, čto pas's'tluvve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4533,4533,эввюъсс̄эп,evvujsseep,пэ̄ссъюввэ,peessjuvve,пэ̄ссэ,peesse,,,Verb,страд.,1.0,,страд. к пэ̄ссэ,,strad. k peesse,,чальм пэ̄ссъюввенҍ,čal'm peessjuv'v'en',лицо умыто,шалльт пэ̄ссьювэ,šal'l't pees's'juve,пол вымыт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4536,4536,энтсэп,entsep,пэстнэ,pestne,пассьтлэсь,pas's'tles',,,Verb,"постоянно;иногда, бывало",3.0,,"быть острым (постоянно;иногда, бывало);втыкаться во что (постоянно;иногда, бывало)",,"to ž'e, čto peesstle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4537,4537,ечтсэп,ečtsep,пэстче,pestče,пассьтлэсь,pas's'tles',,,Verb,"постоянно;иногда, бывало",3.0,,"быть острым (постоянно;иногда, бывало);втыкаться во что (постоянно;иногда, бывало)",,"to ž'e, čto peesstle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4540,4540,чһэп,čhep,пэһч,pehč,пэһч,pehč,пэдч,pedč,Noun,,1.0,,"печаль ж, горе, тоска",ср. пэ̄джь,sr. peedž',,пэдчесьт е̄лле,pedčes't jeel'l'e,жить в печали,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4592,4592,эхьвар,ex'var,равьхэ,rav'xe,равве,rav'v'e,,,Verb,понуд.,3.0,,понуд. к равве,,ponud. k rav'v'e,,равеһтҍ аллксант пӯдзэтҍ,rav'eht allksant puuʒet,пусть сын управляет оленями,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4613,4613,эввушкй̄ар,evvuškjaar,ра̄йкшуввэ,raajkšuvve,ра̄ййк,raajjk,,,Verb,,1.0,,продырявиться,,"to ž'e, čto raajjkluvve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4616,4616,сэлйар,seljar,райлэс,rajles,ра̄йла,raajla,,,Adj,,,,"соседний, соседский;смежный",,"to ž'e, čto raajla",,райлэс пэҏт,rajles per̥t,соседние дома,райлэс па̄ррна,rajles paarrna,погодки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4631,4631,элчпп̄ар,elčppaar,ра̄ппчлэ,raappčle,ра̄ппче,raappče,,,Verb,немного,3.0,,"пожать (руку);прижать кого (ненадолго);пожать (немного, некоторое время - об обуви и т. п.);пожать, повыжимать что (немного)",,"to ž'e, čto raapčse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4648,4648,этннэншшар,etnnenššar,рашшнэннтэ,raššnennte,ражесь,raž'es',,,Verb,постоянно,2.0,1*,"прям., перен. сомневаться в прочности, надёжности кого-чего (постоянно)",,"to ž'e, čto ražselle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4681,4681,эввухкӈ̄ер,evvuxkŋee'r,ре̄ӈкхуввэ,r'eeŋkxuvve,ре̄ӈӈкэ,r'eeŋŋke,,,Verb,страд.,1.0,,страд. к ре̄ӈӈкэ,,strad. k r'eeŋŋke,,мунн ре̄ӈкхувве маӈӈнэм гуэйкэ,munn r'eeŋkxuv'v'e maŋŋnem guejke,я получил выговор за опоздание,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4704,4704,еъпбаор,ejbbaor,роабпъе,roabbje,ра̄бпэ,raabbe,,,Verb,страд.,3.0,,страд. к рабпэ,,strad. k rabpe,,коабпь роабпэй,koabp' roabpej,яма вырыта,каҏтфэлль роабпэй,kar̥tfel'l' roabpej,картофель выкопан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4705,4705,ечбаор,ečbaor,роабче,roabče,ра̄бпэ,raabbe,,,Verb,"постоянно;иногда, бывало",3.0,,"прям., перен. копать, рыть, выкапывать, раскапывать что, откапывать кого-что (постоянно;иногда, бывало)",,"to ž'e, čto roabne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4725,4725,еътдаор,ejddaor,роадтъе,roaddje,ра̄дтӭ,raad'd'e,,,Verb,страд.,3.0,,страд. к ра̄дтӭ,,strad. k raadte,,коашшьк мӯрр роадтэй,koaš'š'k muurr roadtej,сухое дерево срублено,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4726,4726,еътдаор,ejddaor,роадтъе,roaddje,роадӭсь,road'es',,,Verb,,3.0,,"прям;перен. стать некрасивым, неприглядным, уродливым, подурнеть (напр. во время беременности)",,"to ž'e, čto roadte",,со̄н лыгк роадтъенҍ,soon lɨgk roadtjen',его поступки стали неприглядными,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4730,4730,эхдаор,exdaor,роадхэ,roadxe,роадтэ,roadde,,,Verb,понуд.,3.0,,понуд. к роадтэ2,,ponud. k roadte2,,роадэһтҍ соннӭ роазетҍ,roadeht son'n'e roaz'et,заставляй его полоть траву,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4738,4738,эллэсзаор,elleszaor,роазсэллэ,roazselle,роассэ,roasse,,,Verb,"постоянно;иногда, бывало",1.0,1*,"брызгать что, на кого-что, чем;орошать что (постоянно;иногда, бывало)",,"to ž'e, čto roazne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4739,4739,эввухзаор,evvuxzaor,роазхуввэ,roazxuvve,роассэ,roasse,,,Verb,страд.,1.0,,страд. к роассэ,,"to ž'e, čto roossje",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4740,4740,эхзаор,exzaor,роазхэ,roazxe,роассэ,roasse,,,Verb,понуд.,3.0,,понуд. к роассэ,,ponud. k roasse,,па̄ррнэтҍ бэдт роазхэ куэдтҍ роазетҍ,paarrnet bedt roazxe kuedt roaz'et,нужно заставить ребят побрызгать комнатные цветы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4748,4748,эхьммаор,ex'm'maor,роаммьхэ,roam'm'xe,роамм,roamm,,,Verb,,3.0,,обрадовать кого,,"to ž'e, čto roammlahte",,мун роаммьхэнҍ соаг со̄н шӣг лыгк баяс,mun roam'm'xen' soag soon š'iig lɨgk bajas,меня обрадовали известия о его успехах в работе,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4754,4754,эстнаор,estnaor,роантсэ,roantse,роаннтэ,roannte,,,Verb,быстро,3.0,,струсить (быстро),,"to ž'e, čto roanntle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4755,4755,ечтнаор,ečtnaor,роантче,roantče,роаннтэ,roannte,,,Verb,"постоянно;иногда, бывало",3.0,,"трусить (постоянно;иногда, бывало)",,"to ž'e, čto roantne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4758,4758,эввухӊаор,evvux̥naor,роаӊхуввэ,roan̥xuvve,ра̄ӊӊҍ,raan̥'n̥',,,Verb,,1.0,,пораниться,страд. к роаӊӊэ,strad. k roan̥n̥e,,со̄нн роаӊхувэ,soonn roan̥xuve,его ранили,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4764,4764,ечьчпаор,eččpaor,роапчьче,roapčče,ра̄ппче,raappče,,,Verb,"постоянно;иногда, бывало",3.0,,"жать, пожимать что, сжимать, прижимать кого-что (постоянно;иногда, бывало);жать (постоянно;иногда, бывало - об обуви и т. п.);жать, выжимать, отжимать что (постоянно;иногда, бывало);перен. угнетать кого (постоянно;иногда, бывало)",,"to ž'e, čto roapčne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4766,4766,этссаор,etssaor,роасстэ,roasste,роассэ,roasse,,,Verb,понуд.,3.0,,понуд. к роассэ,,"to ž'e, čto roazxe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4773,4773,еъкттаор,ejkttaor,роатткъе,roattkje,ра̄ттҍкэ,raat't'ke,,,Verb,,3.0,,"развестись, разойтись (о супругах)",страд. к ра̄ттҍкэ,strad. k raattke,,я̄ллмушш роатткэй,jaallmušš roattkej,имущество разделено,альк роатткъенҍ пӣррсэсьт,al'k roattkjen' p'iirrses't,сыновей выделили из семьи,сыйй роатткъенҍ тыйймъя ыгесьт,sɨjj roattkjen' tɨjjmja ɨg'es't,они развелись в прошлом году,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4776,4776,эввутпһаор,evvutphaor,роаһптуввэ,roahptuvve,роаһптэ,roahpte,,,Verb,страд.,1.0,,страд. к роаһптэ,,strad. k roahpte,,пӯдзэ роаһптуввенҍ,puuʒe roahptuv'v'en',олени погублены,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4784,4784,эхжухб̄ор,exžuxboor,ро̄бхужхэ,roobxužxe,ро̄бэт,roobet,,,Verb,понуд.,3.0,,понуд. к ро̄бхушшэ,,ponud. k roobxušše,,со̄нн ро̄бхужаһт па̄ррнэтҍ кӯэдтҍ ро̄бхэтҍ,soonn roobxužaht paarrnet kuuedt roobxet,она заставляет ребят делать домашнюю работу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4785,4785,элшшухб̄ор,elššuxboor,ро̄бхушшлэ,roobxuššle,ро̄бэт,roobet,,,Verb,немного,3.0,,"поработать, потрудиться (немного)",,"to ž'e, čto roobxužse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
